,time,source_date,security_identifier,maturity,position,bbg,industry_group
26,2026-02-06 23:00:00.001,2026-02-06,3302L7,2048-11-07,28659.0,BBGF989465,Telecommunication Service
27,2026-02-06 23:00:00.001,2026-02-06,3708Q2,2063-01-01,34043.0,BBGF633636,Utilities
28,2026-02-06 23:00:00.001,2026-02-06,4302Z0,2075-07-05,48746.0,BBGF138102,Materials
29,2026-02-06 23:00:00.001,2026-02-06,4342D5,2059-04-01,44579.0,BBGF174460,Energy
30,2026-02-06 23:00:00.001,2026-02-06,4401H0,2065-04-05,42350.0,BBGF464778,Utilities
31,2026-02-06 23:00:00.001,2026-02-06,5935H1,2039-03-07,28837.0,BBGF189930,Telecommunication Service
32,2026-02-06 23:00:00.001,2026-02-06,6122S9,2056-05-07,20117.0,BBGF631089,Utilities
33,2026-02-06 23:00:00.001,2026-02-06,6163L2,2039-11-03,47504.0,BBGF727438,Telecommunication Service
34,2026-02-06 23:00:00.001,2026-02-06,6395S6,2045-07-03,33917.0,BBGF827627,Telecommunication Service
35,2026-02-06 23:00:00.001,2026-02-06,6544H9,2052-02-03,38935.0,BBGF279208,Health Car
36,2026-02-06 23:00:00.001,2026-02-06,7360T3,2037-08-04,34309.0,BBGF254697,Information Technolog
37,2026-02-06 23:00:00.001,2026-02-06,8443M2,2043-01-04,33234.0,BBGF313945,Energy
38,2026-02-06 23:00:00.001,2026-02-06,8852Q4,2051-09-05,25560.0,BBGF331915,Utilities
39,2026-02-06 23:00:00.001,2026-02-06,8913W3,2033-09-01,40673.0,BBGF827952,Consumer Discretionar
40,2026-02-06 23:00:00.001,2026-02-06,9213I6,2044-08-01,20846.0,BBGF308124,Energy
41,2026-02-06 23:00:00.001,2026-02-06,9849S7,2056-10-03,30954.0,BBGF537477,Information Technolog
42,2026-02-06 23:00:00.001,2026-02-06,9915D5,2075-10-04,33703.0,BBGF625830,Energy
43,2026-02-06 23:00:00.001,2026-02-06,0490Q8,2068-07-02,35385.0,BBGF383821,Industrial
44,2026-02-06 23:00:00.001,2026-02-06,1940Y8,2066-04-05,33746.0,BBGF277804,Consumer Discretionar
45,2026-02-06 23:00:00.001,2026-02-06,0385N4,2074-09-05,42700.0,BBGF805703,Information Technolog
46,2026-02-06 23:00:00.001,2026-02-06,4841E8,2059-01-05,26469.0,BBGF139081,Health Car
47,2026-02-06 23:00:00.001,2026-02-06,8868W8,2060-05-06,29333.0,BBGF818216,Utilities
48,2026-02-06 23:00:00.001,2026-02-06,8591U3,2047-07-02,46386.0,BBGF455249,Financial
49,2026-02-06 23:00:00.001,2026-02-06,4895I5,2061-09-05,45299.0,BBGF319930,Information Technolog
50,2026-02-06 23:00:00.001,2026-02-06,0825I9,2035-10-02,36608.0,BBGF905497,Materials
51,2026-02-06 23:00:00.001,2026-02-06,6550F6,2068-03-04,32819.0,BBGF617313,Utilities
52,2026-02-06 23:00:00.001,2026-02-06,7054W3,2037-08-04,24208.0,BBGF314532,Information Technolog
53,2026-02-06 23:00:00.001,2026-02-06,3025L2,2063-07-07,26283.0,BBGF712380,Industrial
54,2026-02-06 23:00:00.001,2026-02-06,7561O6,2053-10-02,49230.0,BBGF619332,Financial
55,2026-02-06 23:00:00.001,2026-02-06,4147M2,2077-06-04,22048.0,BBGF416837,Industrial
56,2026-02-06 23:00:00.001,2026-02-06,7978F7,2048-10-02,26233.0,BBGF389106,Financial
57,2026-02-06 23:00:00.001,2026-02-06,5794P9,2034-07-03,32941.0,BBGF128295,Materials
58,2026-02-06 23:00:00.001,2026-02-06,8819G0,2040-03-01,32607.0,BBGF113807,Utilities
59,2026-02-06 23:00:00.001,2026-02-06,8870N0,2030-06-05,29765.0,BBGF535564,Health Car
60,2026-02-06 23:00:00.001,2026-02-06,2739F8,2067-03-04,21828.0,BBGF257504,Industrial
61,2026-02-06 23:00:00.001,2026-02-06,1597D1,2048-11-07,21917.0,BBGF338067,Industrial
62,2026-02-06 23:00:00.001,2026-02-06,9675E9,2041-02-02,40618.0,BBGF585008,Telecommunication Service
63,2026-02-06 23:00:00.001,2026-02-06,6702H6,2065-06-03,26988.0,BBGF792440,Financial
64,2026-02-06 23:00:00.001,2026-02-06,2745T7,2075-08-01,38410.0,BBGF494540,Consumer Staple
65,2026-02-06 23:00:00.001,2026-02-06,8357D7,2028-01-04,34594.0,BBGF977699,Utilities
66,2026-02-06 23:00:00.001,2026-02-06,7391X4,2050-04-03,40128.0,BBGF617923,Financial
67,2026-02-06 23:00:00.001,2026-02-06,9871M8,2038-10-03,45477.0,BBGF266981,Telecommunication Service
68,2026-02-06 23:00:00.001,2026-02-06,8673X7,2079-02-05,32977.0,BBGF844699,Energy
69,2026-02-06 23:00:00.001,2026-02-06,3082F1,2059-11-05,46615.0,BBGF119870,Financial
70,2026-02-06 23:00:00.001,2026-02-06,9632R6,2035-10-02,20009.0,BBGF303196,Health Car
71,2026-02-06 23:00:00.001,2026-02-06,4923F8,2027-05-05,36644.0,BBGF348683,Utilities
72,2026-02-06 23:00:00.001,2026-02-06,3812D1,2037-08-03,42422.0,BBGF334677,Telecommunication Service
73,2026-02-06 23:00:00.001,2026-02-06,5931Z8,2066-05-05,29865.0,BBGF126790,Energy
74,2026-02-06 23:00:00.001,2026-02-06,9065F2,2045-02-05,22219.0,BBGF743162,Consumer Discretionar
75,2026-02-06 23:00:00.001,2026-02-06,8045R1,2067-01-07,27041.0,BBGF911721,Telecommunication Service
76,2026-02-06 23:00:00.001,2026-02-06,5341K9,2028-01-04,38444.0,BBGF548345,Consumer Discretionar
77,2026-02-06 23:00:00.001,2026-02-06,FPBF6,2067-07-04,25287.0,BBGF849074,Utilities
78,2026-02-06 23:00:00.001,2026-02-06,GUSE7,2058-07-01,48289.0,BBGF587462,Industrial
79,2026-02-06 23:00:00.001,2026-02-06,7154C8,2038-10-03,21619.0,BBGF639773,Telecommunication Service
80,2026-02-06 23:00:00.001,2026-02-06,7314Z1,2045-02-05,28512.0,BBGF930914,Materials
81,2026-02-06 23:00:00.001,2026-02-06,1568P5,2066-05-05,21342.0,BBGF186188,Consumer Discretionar
82,2026-02-06 23:00:00.001,2026-02-06,4096V8,2061-09-03,30568.0,BBGF629036,Health Car
83,2026-02-06 23:00:00.001,2026-02-06,DWHN7,2039-03-07,39216.0,BBGF842129,Materials
84,2026-02-06 23:00:00.001,2026-02-06,DWSE7,2058-07-04,39208.0,BBGF764795,Information Technolog
85,2026-02-06 23:00:00.001,2026-02-06,DWLK7,2053-10-02,38378.0,BBGF890141,Information Technolog
86,2026-02-06 23:00:00.001,2026-02-06,DWDR6,2049-09-06,47534.0,BBGF748249,Energy
87,2026-02-06 23:00:00.001,2026-02-06,5678V3,2048-07-02,34231.0,BBGF130355,Industrial
88,2026-02-06 23:00:00.001,2026-02-06,2469B2,2061-02-01,46614.0,BBGF811131,Utilities
89,2026-02-06 23:00:00.001,2026-02-06,8983D4,2038-03-01,23490.0,BBGF551015,Telecommunication Service
90,2026-02-06 23:00:00.001,2026-02-06,2805Z5,2048-10-02,48253.0,BBGF506332,Consumer Staple
91,2026-02-06 23:00:00.001,2026-02-06,3926T2,2029-01-05,29310.0,BBGF256542,Health Car
92,2026-02-06 23:00:00.001,2026-02-06,1047P3,2040-02-02,27984.0,BBGF273416,Consumer Discretionar
93,2026-02-06 23:00:00.001,2026-02-06,6142B6,2078-02-06,37988.0,BBGF405062,Utilities
94,2026-02-06 23:00:00.001,2026-02-06,7219H9,2050-11-06,32219.0,BBGF938656,Materials
95,2026-02-06 23:00:00.001,2026-02-06,8273M4,2033-09-01,20235.0,BBGF663586,Information Technolog
96,2026-02-06 23:00:00.001,2026-02-06,9562M2,2062-08-03,30161.0,BBGF601708,Health Car
97,2026-02-06 23:00:00.001,2026-02-06,1234P9,2078-04-06,49005.0,BBGF966651,Consumer Staple
98,2026-02-06 23:00:00.001,2026-02-06,7408B9,2051-05-05,21908.0,BBGF161629,Telecommunication Service
99,2026-02-06 23:00:00.001,2026-02-06,HTQX7,2039-11-03,28567.0,BBGF428184,Energy
100,2026-02-05 23:00:00.001,2026-02-05,EVQX6,2074-01-01,37743.0,BBGF575853,Industrial
101,2026-02-05 23:00:00.001,2026-02-05,BZQX7,2079-06-04,47386.0,BBGF151934,Telecommunication Service
102,2026-02-05 23:00:00.001,2026-02-05,AXQX7,2060-10-06,47001.0,BBGF820255,Financial
103,2026-02-05 23:00:00.001,2026-02-05,AXBF6,2045-10-01,38016.9,BBGF525523,Financial
104,2026-02-05 23:00:00.001,2026-02-05,CQHN6,2039-11-03,21504.9,BBGF940530,Health Car
105,2026-02-05 23:00:00.001,2026-02-05,CQHN6,2027-02-06,25521.9,BBGF554137,Information Technolog
106,2026-02-05 23:00:00.001,2026-02-05,CQTY7,2027-05-05,26662.0,BBGF105486,Consumer Discretionar
107,2026-02-05 23:00:00.001,2026-02-05,ZYMP7,2064-08-04,47249.0,BBGF239407,Information Technolog
108,2026-02-05 23:00:00.001,2026-02-05,ZYJC7,2058-11-07,31512.9,BBGF973332,Consumer Discretionar
109,2026-02-05 23:00:00.001,2026-02-05,JRHN7,2068-06-02,43269.9,BBGF750308,Information Technolog
110,2026-02-05 23:00:00.001,2026-02-05,JRQX7,2034-05-04,40001.1,BBGF727083,Telecommunication Service
111,2026-02-05 23:00:00.001,2026-02-05,JRLK7,2071-11-05,30709.0,BBGF320184,Industrial
112,2026-02-05 23:00:00.001,2026-02-05,4829A3,2062-08-03,34038.0,BBGF766490,Industrial
113,2026-02-05 23:00:00.001,2026-02-05,5827X9,2075-03-04,40009.0,BBGF449652,Materials
114,2026-02-05 23:00:00.001,2026-02-05,2547H3,2056-10-03,47326.0,BBGF861315,Utilities
115,2026-02-05 23:00:00.001,2026-02-05,6915H2,2053-10-02,45846.0,BBGF742612,Industrial
116,2026-02-05 23:00:00.001,2026-02-05,2156V6,2050-06-01,33156.0,BBGF422710,Industrial
117,2026-02-05 23:00:00.001,2026-02-05,3684K1,2047-07-02,44918.1,BBGF297775,Consumer Staple
118,2026-02-05 23:00:00.001,2026-02-05,3156F5,2050-02-03,22710.0,BBGF389336,Consumer Staple
119,2026-02-05 23:00:00.001,2026-02-05,KLJC7,2066-04-02,37547.1,BBGF887494,Materials
120,2026-02-05 23:00:00.001,2026-02-05,6395R4,2078-04-06,24424.1,BBGF708364,Utilities
121,2026-02-05 23:00:00.001,2026-02-05,4782T5,2055-07-03,30686.9,BBGF189780,Health Car
122,2026-02-05 23:00:00.001,2026-02-05,4518K7,2049-09-03,29010.9,BBGF252617,Consumer Staple
123,2026-02-05 23:00:00.001,2026-02-05,0014T4,2049-09-03,25462.0,BBGF645977,Health Car
124,2026-02-05 23:00:00.001,2026-02-05,1421H4,2043-06-05,36288.9,BBGF897606,Energy
125,2026-02-05 23:00:00.001,2026-02-05,2095N8,2048-10-02,43763.0,BBGF450605,Consumer Staple
126,2026-02-05 23:00:00.001,2026-02-05,3302L7,2048-11-07,28549.0,BBGF989465,Telecommunication Service
127,2026-02-05 23:00:00.001,2026-02-05,3708Q2,2063-01-01,33942.9,BBGF633636,Utilities
128,2026-02-05 23:00:00.001,2026-02-05,4302Z0,2075-07-05,48645.0,BBGF138102,Materials
129,2026-02-05 23:00:00.001,2026-02-05,4342D5,2059-04-01,44469.0,BBGF174460,Energy
130,2026-02-05 23:00:00.001,2026-02-05,4401H0,2065-04-05,42460.0,BBGF464778,Utilities
131,2026-02-05 23:00:00.001,2026-02-05,5935H1,2039-03-07,28736.0,BBGF189930,Telecommunication Service
132,2026-02-05 23:00:00.001,2026-02-05,6122S9,2056-05-07,20016.0,BBGF631089,Utilities
133,2026-02-05 23:00:00.001,2026-02-05,6163L2,2039-11-03,47605.0,BBGF727438,Telecommunication Service
134,2026-02-05 23:00:00.001,2026-02-05,6395S6,2045-07-03,33797.0,BBGF827627,Telecommunication Service
135,2026-02-05 23:00:00.001,2026-02-05,6544H9,2052-02-03,39040.0,BBGF279208,Health Car
136,2026-02-05 23:00:00.001,2026-02-05,7360T3,2037-08-04,34208.9,BBGF254697,Information Technolog
137,2026-02-05 23:00:00.001,2026-02-05,8443M2,2043-01-04,33133.9,BBGF313945,Energy
138,2026-02-05 23:00:00.001,2026-02-05,8852Q4,2051-09-05,25665.0,BBGF331915,Utilities
139,2026-02-05 23:00:00.001,2026-02-05,8913W3,2033-09-01,40778.0,BBGF827952,Consumer Discretionar
140,2026-02-05 23:00:00.001,2026-02-05,9213I6,2044-08-01,20956.0,BBGF308124,Energy
141,2026-02-05 23:00:00.001,2026-02-05,9849S7,2056-10-03,30844.0,BBGF537477,Information Technolog
142,2026-02-05 23:00:00.001,2026-02-05,9915D5,2075-10-04,33602.9,BBGF625830,Energy
143,2026-02-05 23:00:00.001,2026-02-05,0490Q8,2068-07-02,35280.0,BBGF383821,Industrial
144,2026-02-05 23:00:00.001,2026-02-05,1940Y8,2066-04-05,33645.0,BBGF277804,Consumer Discretionar
145,2026-02-05 23:00:00.001,2026-02-05,0385N4,2074-09-05,42580.0,BBGF805703,Information Technolog
146,2026-02-05 23:00:00.001,2026-02-05,4841E8,2059-01-05,26570.0,BBGF139081,Health Car
147,2026-02-05 23:00:00.001,2026-02-05,8868W8,2060-05-06,29232.0,BBGF818216,Utilities
148,2026-02-05 23:00:00.001,2026-02-05,8591U3,2047-07-02,46281.0,BBGF455249,Financial
149,2026-02-05 23:00:00.001,2026-02-05,4895I5,2061-09-05,45194.0,BBGF319930,Information Technolog
150,2026-02-05 23:00:00.001,2026-02-05,0825I9,2035-10-02,36488.0,BBGF905497,Materials
151,2026-02-05 23:00:00.001,2026-02-05,6550F6,2068-03-04,32714.0,BBGF617313,Utilities
152,2026-02-05 23:00:00.001,2026-02-05,7054W3,2037-08-04,24318.0,BBGF314532,Information Technolog
153,2026-02-05 23:00:00.001,2026-02-05,3025L2,2063-07-07,26173.0,BBGF712380,Industrial
154,2026-02-05 23:00:00.001,2026-02-05,7561O6,2053-10-02,49120.0,BBGF619332,Financial
155,2026-02-05 23:00:00.001,2026-02-05,4147M2,2077-06-04,21947.0,BBGF416837,Industrial
156,2026-02-05 23:00:00.001,2026-02-05,7978F7,2048-10-02,26132.0,BBGF389106,Financial
157,2026-02-05 23:00:00.001,2026-02-05,5794P9,2034-07-03,32821.0,BBGF128295,Materials
158,2026-02-05 23:00:00.001,2026-02-05,8819G0,2040-03-01,32487.0,BBGF113807,Utilities
159,2026-02-05 23:00:00.001,2026-02-05,8870N0,2030-06-05,29645.0,BBGF535564,Health Car
160,2026-02-05 23:00:00.001,2026-02-05,2739F8,2067-03-04,21727.0,BBGF257504,Industrial
161,2026-02-05 23:00:00.001,2026-02-05,1597D1,2048-11-07,22037.0,BBGF338067,Industrial
162,2026-02-05 23:00:00.001,2026-02-05,9675E9,2041-02-02,40728.0,BBGF585008,Telecommunication Service
163,2026-02-05 23:00:00.001,2026-02-05,6702H6,2065-06-03,27093.0,BBGF792440,Financial
164,2026-02-05 23:00:00.001,2026-02-05,2745T7,2075-08-01,38309.0,BBGF494540,Consumer Staple
165,2026-02-05 23:00:00.001,2026-02-05,8357D7,2028-01-04,34474.0,BBGF977699,Utilities
166,2026-02-05 23:00:00.001,2026-02-05,7391X4,2050-04-03,40238.0,BBGF617923,Financial
167,2026-02-05 23:00:00.001,2026-02-05,9871M8,2038-10-03,45587.0,BBGF266981,Telecommunication Service
168,2026-02-05 23:00:00.001,2026-02-05,8673X7,2079-02-05,33082.0,BBGF844699,Energy
169,2026-02-05 23:00:00.001,2026-02-05,3082F1,2059-11-05,46514.0,BBGF119870,Financial
170,2026-02-05 23:00:00.001,2026-02-05,9632R6,2035-10-02,19889.0,BBGF303196,Health Car
171,2026-02-05 23:00:00.001,2026-02-05,4923F8,2027-05-05,36524.0,BBGF348683,Utilities
172,2026-02-05 23:00:00.001,2026-02-05,3812D1,2037-08-03,42321.9,BBGF334677,Telecommunication Service
173,2026-02-05 23:00:00.001,2026-02-05,5931Z8,2066-05-05,29970.0,BBGF126790,Energy
174,2026-02-05 23:00:00.001,2026-02-05,9065F2,2045-02-05,22319.1,BBGF743162,Consumer Discretionar
175,2026-02-05 23:00:00.001,2026-02-05,8045R1,2067-01-07,27151.0,BBGF911721,Telecommunication Service
176,2026-02-05 23:00:00.001,2026-02-05,5341K9,2028-01-04,38554.0,BBGF548345,Consumer Discretionar
177,2026-02-05 23:00:00.001,2026-02-05,FPBF6,2067-07-04,25182.0,BBGF849074,Utilities
178,2026-02-05 23:00:00.001,2026-02-05,GUSE7,2058-07-01,48188.9,BBGF587462,Industrial
179,2026-02-05 23:00:00.001,2026-02-05,7154C8,2038-10-03,21509.0,BBGF639773,Telecommunication Service
180,2026-02-05 23:00:00.001,2026-02-05,7314Z1,2045-02-05,28613.0,BBGF930914,Materials
181,2026-02-05 23:00:00.001,2026-02-05,1568P5,2066-05-05,21241.0,BBGF186188,Consumer Discretionar
182,2026-02-05 23:00:00.001,2026-02-05,4096V8,2061-09-03,30668.1,BBGF629036,Health Car
183,2026-02-05 23:00:00.001,2026-02-05,DWHN7,2039-03-07,39326.0,BBGF842129,Materials
184,2026-02-05 23:00:00.001,2026-02-05,DWSE7,2058-07-04,39318.0,BBGF764795,Information Technolog
185,2026-02-05 23:00:00.001,2026-02-05,DWLK7,2053-10-02,38277.9,BBGF890141,Information Technolog
186,2026-02-05 23:00:00.001,2026-02-05,DWDR6,2049-09-06,47414.0,BBGF748249,Energy
187,2026-02-05 23:00:00.001,2026-02-05,5678V3,2048-07-02,34336.0,BBGF130355,Industrial
188,2026-02-05 23:00:00.001,2026-02-05,2469B2,2061-02-01,46494.0,BBGF811131,Utilities
189,2026-02-05 23:00:00.001,2026-02-05,8983D4,2038-03-01,23600.0,BBGF551015,Telecommunication Service
190,2026-02-05 23:00:00.001,2026-02-05,2805Z5,2048-10-02,48152.9,BBGF506332,Consumer Staple
191,2026-02-05 23:00:00.001,2026-02-05,3926T2,2029-01-05,29200.0,BBGF256542,Health Car
192,2026-02-05 23:00:00.001,2026-02-05,1047P3,2040-02-02,27883.9,BBGF273416,Consumer Discretionar
193,2026-02-05 23:00:00.001,2026-02-05,6142B6,2078-02-06,37887.0,BBGF405062,Utilities
194,2026-02-05 23:00:00.001,2026-02-05,7219H9,2050-11-06,32329.0,BBGF938656,Materials
195,2026-02-05 23:00:00.001,2026-02-05,8273M4,2033-09-01,20134.0,BBGF663586,Information Technolog
196,2026-02-05 23:00:00.001,2026-02-05,9562M2,2062-08-03,30261.1,BBGF601708,Health Car
197,2026-02-05 23:00:00.001,2026-02-05,1234P9,2078-04-06,48904.9,BBGF966651,Consumer Staple
198,2026-02-05 23:00:00.001,2026-02-05,7408B9,2051-05-05,21798.0,BBGF161629,Telecommunication Service
199,2026-02-05 23:00:00.001,2026-02-05,HTQX7,2039-11-03,28466.9,BBGF428184,Energy
200,2026-02-04 23:00:00.001,2026-02-04,EVQX6,2074-01-01,37848.0,BBGF575853,Industrial
201,2026-02-04 23:00:00.001,2026-02-04,BZQX7,2079-06-04,47285.0,BBGF151934,Telecommunication Service
202,2026-02-04 23:00:00.001,2026-02-04,AXQX7,2060-10-06,46881.0,BBGF820255,Financial
203,2026-02-04 23:00:00.001,2026-02-04,AXBF6,2045-10-01,38117.0,BBGF525523,Financial
204,2026-02-04 23:00:00.001,2026-02-04,CQHN6,2039-11-03,21403.9,BBGF940530,Health Car
205,2026-02-04 23:00:00.001,2026-02-04,CQHN6,2027-02-06,25421.800000000003,BBGF554137,Information Technolog
206,2026-02-04 23:00:00.001,2026-02-04,CQTY7,2027-05-05,26561.9,BBGF105486,Consumer Discretionar
207,2026-02-04 23:00:00.001,2026-02-04,ZYMP7,2064-08-04,47148.0,BBGF239407,Information Technolog
208,2026-02-04 23:00:00.001,2026-02-04,ZYJC7,2058-11-07,31622.9,BBGF973332,Consumer Discretionar
209,2026-02-04 23:00:00.001,2026-02-04,JRHN7,2068-06-02,43370.9,BBGF750308,Information Technolog
210,2026-02-04 23:00:00.001,2026-02-04,JRQX7,2034-05-04,40106.1,BBGF727083,Telecommunication Service
211,2026-02-04 23:00:00.001,2026-02-04,JRLK7,2071-11-05,30599.0,BBGF320184,Industrial
212,2026-02-04 23:00:00.001,2026-02-04,4829A3,2062-08-03,34148.0,BBGF766490,Industrial
213,2026-02-04 23:00:00.001,2026-02-04,5827X9,2075-03-04,40119.0,BBGF449652,Materials
214,2026-02-04 23:00:00.001,2026-02-04,2547H3,2056-10-03,47431.0,BBGF861315,Utilities
215,2026-02-04 23:00:00.001,2026-02-04,6915H2,2053-10-02,45745.0,BBGF742612,Industrial
216,2026-02-04 23:00:00.001,2026-02-04,2156V6,2050-06-01,33055.9,BBGF422710,Industrial
217,2026-02-04 23:00:00.001,2026-02-04,3684K1,2047-07-02,44798.1,BBGF297775,Consumer Staple
218,2026-02-04 23:00:00.001,2026-02-04,3156F5,2050-02-03,22590.0,BBGF389336,Consumer Staple
219,2026-02-04 23:00:00.001,2026-02-04,KLJC7,2066-04-02,37667.1,BBGF887494,Materials
220,2026-02-04 23:00:00.001,2026-02-04,6395R4,2078-04-06,24324.0,BBGF708364,Utilities
221,2026-02-04 23:00:00.001,2026-02-04,4782T5,2055-07-03,30576.9,BBGF189780,Health Car
222,2026-02-04 23:00:00.001,2026-02-04,4518K7,2049-09-03,28909.9,BBGF252617,Consumer Staple
223,2026-02-04 23:00:00.001,2026-02-04,0014T4,2049-09-03,25563.0,BBGF645977,Health Car
224,2026-02-04 23:00:00.001,2026-02-04,1421H4,2043-06-05,36168.9,BBGF897606,Energy
225,2026-02-04 23:00:00.001,2026-02-04,2095N8,2048-10-02,43653.0,BBGF450605,Consumer Staple
226,2026-02-04 23:00:00.001,2026-02-04,3302L7,2048-11-07,28439.0,BBGF989465,Telecommunication Service
227,2026-02-04 23:00:00.001,2026-02-04,3708Q2,2063-01-01,33841.9,BBGF633636,Utilities
228,2026-02-04 23:00:00.001,2026-02-04,4302Z0,2075-07-05,48525.0,BBGF138102,Materials
229,2026-02-04 23:00:00.001,2026-02-04,4342D5,2059-04-01,44368.0,BBGF174460,Energy
230,2026-02-04 23:00:00.001,2026-02-04,4401H0,2065-04-05,42580.0,BBGF464778,Utilities
231,2026-02-04 23:00:00.001,2026-02-04,5935H1,2039-03-07,28836.1,BBGF189930,Telecommunication Service
232,2026-02-04 23:00:00.001,2026-02-04,6122S9,2056-05-07,19915.9,BBGF631089,Utilities
233,2026-02-04 23:00:00.001,2026-02-04,6163L2,2039-11-03,47485.0,BBGF727438,Telecommunication Service
234,2026-02-04 23:00:00.001,2026-02-04,6395S6,2045-07-03,33696.0,BBGF827627,Telecommunication Service
235,2026-02-04 23:00:00.001,2026-02-04,6544H9,2052-02-03,38930.0,BBGF279208,Health Car
236,2026-02-04 23:00:00.001,2026-02-04,7360T3,2037-08-04,34098.9,BBGF254697,Information Technolog
237,2026-02-04 23:00:00.001,2026-02-04,8443M2,2043-01-04,33238.9,BBGF313945,Energy
238,2026-02-04 23:00:00.001,2026-02-04,8852Q4,2051-09-05,25564.9,BBGF331915,Utilities
239,2026-02-04 23:00:00.001,2026-02-04,8913W3,2033-09-01,40677.0,BBGF827952,Consumer Discretionar
240,2026-02-04 23:00:00.001,2026-02-04,9213I6,2044-08-01,21076.0,BBGF308124,Energy
241,2026-02-04 23:00:00.001,2026-02-04,9849S7,2056-10-03,30724.0,BBGF537477,Information Technolog
242,2026-02-04 23:00:00.001,2026-02-04,9915D5,2075-10-04,33707.9,BBGF625830,Energy
243,2026-02-04 23:00:00.001,2026-02-04,0490Q8,2068-07-02,35381.0,BBGF383821,Industrial
244,2026-02-04 23:00:00.001,2026-02-04,1940Y8,2066-04-05,33540.0,BBGF277804,Consumer Discretionar
245,2026-02-04 23:00:00.001,2026-02-04,0385N4,2074-09-05,42470.0,BBGF805703,Information Technolog
246,2026-02-04 23:00:00.001,2026-02-04,4841E8,2059-01-05,26670.1,BBGF139081,Health Car
247,2026-02-04 23:00:00.001,2026-02-04,8868W8,2060-05-06,29352.0,BBGF818216,Utilities
248,2026-02-04 23:00:00.001,2026-02-04,8591U3,2047-07-02,46180.0,BBGF455249,Financial
249,2026-02-04 23:00:00.001,2026-02-04,4895I5,2061-09-05,45084.0,BBGF319930,Information Technolog
250,2026-02-04 23:00:00.001,2026-02-04,0825I9,2035-10-02,36383.0,BBGF905497,Materials
251,2026-02-04 23:00:00.001,2026-02-04,6550F6,2068-03-04,32613.0,BBGF617313,Utilities
252,2026-02-04 23:00:00.001,2026-02-04,7054W3,2037-08-04,24419.0,BBGF314532,Information Technolog
253,2026-02-04 23:00:00.001,2026-02-04,3025L2,2063-07-07,26063.0,BBGF712380,Industrial
254,2026-02-04 23:00:00.001,2026-02-04,7561O6,2053-10-02,49225.0,BBGF619332,Financial
255,2026-02-04 23:00:00.001,2026-02-04,4147M2,2077-06-04,22048.0,BBGF416837,Industrial
